Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Cavan County Council,57,476,515,-39
Cavan County Council,58,496,468,28
Cavan County Council,59,480,515,-35
Cavan County Council,60,468,478,-10
Cavan County Council,61,461,464,-3
Cavan County Council,62,445,473,-28
Cavan County Council,63,406,420,-14
Cavan County Council,64,412,430,-18
Cavan County Council,65,406,457,-51
Cavan County Council,66,424,383,41
Cavan County Council,67,374,419,-45
Cavan County Council,68,393,381,12
Cavan County Council,69,364,358,6
Cavan County Council,70,330,348,-18
Cavan County Council,71,340,340,0
Cavan County Council,72,326,363,-37
Cavan County Council,73,307,322,-15
Cavan County Council,74,288,308,-20
Cavan County Council,75,295,287,8
Cavan County Council,76,260,254,6
Cavan County Council,77,258,224,34
Cavan County Council,78,217,216,1
Cavan County Council,79,191,197,-6
Cavan County Council,80,157,175,-18
Cavan County Council,81,152,167,-15
Cavan County Council,82,146,127,19
Cavan County Council,83,144,136,8
Cavan County Council,84,145,107,38
Cavan County Council,85,137,108,29
Cavan County Council,86,128,98,30
Cavan County Council,87,107,75,32
Cavan County Council,88,105,83,22
Cavan County Council,89,79,55,24
Cavan County Council,90,57,39,18
Cavan County Council,91,62,36,26
Cavan County Council,92,52,15,37
Cavan County Council,93,35,15,20
Cavan County Council,94,20,12,8
Cavan County Council,95,21,8,13
Cavan County Council,96,16,7,9
Cavan County Council,97,10,3,7
Cavan County Council,98,7,1,6
Cavan County Council,99,6,0,6
Cavan County Council,100,12,6,6
Clare County Council,0,691,686,5
Clare County Council,1,704,656,48
Clare County Council,2,744,729,15
Clare County Council,3,745,723,22
Clare County Council,4,766,739,27
Clare County Council,5,799,821,-22
Clare County Council,6,789,867,-78
Clare County Council,7,805,858,-53
Clare County Council,8,801,869,-68
Clare County Council,9,873,933,-60
Clare County Council,10,960,914,46
Clare County Council,11,913,908,5
Clare County Council,12,999,984,15
Clare County Council,13,914,960,-46
Clare County Council,14,894,954,-60
Clare County Council,15,907,981,-74
Clare County Council,16,947,903,44
Clare County Council,17,890,954,-64
Clare County Council,18,830,860,-30
Clare County Council,19,821,829,-8
Clare County Council,20,739,828,-89
Clare County Council,21,697,655,42
Clare County Council,22,728,775,-47
Clare County Council,23,649,632,17
Clare County Council,24,606,649,-43
Clare County Council,25,631,627,4
Clare County Council,26,593,586,7
Clare County Council,27,587,593,-6
Clare County Council,28,607,580,27
Clare County Council,29,583,605,-22
Clare County Council,30,627,582,45
Clare County Council,31,708,623,85
Clare County Council,32,688,642,46
Clare County Council,33,695,643,52
Clare County Council,34,741,714,27
Clare County Council,35,787,729,58
Clare County Council,36,828,765,63
Clare County Council,37,923,788,135
Clare County Council,38,955,863,92
Clare County Council,39,945,829,116
Clare County Council,40,999,907,92
Clare County Council,41,1057,926,131
Clare County Council,42,1060,969,91
Clare County Council,43,989,892,97
Clare County Council,44,987,884,103
Clare County Council,45,940,936,4
Clare County Council,46,1050,902,148
Clare County Council,47,913,882,31
Clare County Council,48,962,958,4
Clare County Council,49,982,941,41
Clare County Council,50,1033,946,87
Clare County Council,51,911,916,-5
Clare County Council,52,976,919,57
Clare County Council,53,870,873,-3
Clare County Council,54,920,850,70
Clare County Council,55,891,867,24
Clare County Council,56,911,828,83
Clare County Council,57,824,824,0
Clare County Council,58,848,841,7
Clare County Council,59,823,797,26
Clare County Council,60,757,783,-26
Clare County Council,61,737,756,-19
Clare County Council,62,738,754,-16
Clare County Council,63,794,782,12
Clare County Council,64,719,712,7
Clare County Council,65,650,691,-41
Clare County Council,66,704,647,57
Clare County Council,67,689,672,17
Clare County Council,68,648,637,11
Clare County Council,69,616,673,-57
Clare County Council,70,626,604,22
Clare County Council,71,595,596,-1
Clare County Council,72,636,605,31
Clare County Council,73,571,542,29
Clare County Council,74,536,540,-4
Clare County Council,75,551,507,44
Clare County Council,76,498,478,20
Clare County Council,77,452,442,10
Clare County Council,78,377,416,-39
Clare County Council,79,379,314,65
Clare County Council,80,299,295,4
Clare County Council,81,312,271,41
Clare County Council,82,287,239,48
Clare County Council,83,254,222,32
Clare County Council,84,207,187,20
Clare County Council,85,202,174,28
Clare County Council,86,197,158,39
Clare County Council,87,170,113,57
Clare County Council,88,144,114,30
Clare County Council,89,132,75,57
Clare County Council,90,106,68,38
Clare County Council,91,89,49,40
Clare County Council,92,71,28,43
Clare County Council,93,58,20,38
Clare County Council,94,40,14,26
Clare County Council,95,38,13,25
Clare County Council,96,28,12,16
Clare County Council,97,20,11,9
Clare County Council,98,12,3,9
Clare County Council,99,11,3,8
Clare County Council,100,16,3,13
Cork City Council,0,1124,1159,-35
Cork City Council,1,1136,1148,-12
Cork City Council,2,1162,1144,18
Cork City Council,3,1106,1188,-82
Cork City Council,4,1101,1142,-41
Cork City Council,5,1186,1176,10
Cork City Council,6,1228,1268,-40
Cork City Council,7,1195,1369,-174
Cork City Council,8,1246,1270,-24
Cork City Council,9,1271,1346,-75
Cork City Council,10,1285,1295,-10
Cork City Council,11,1302,1393,-91
Cork City Council,12,1334,1356,-22
Cork City Council,13,1302,1292,10
Cork City Council,14,1270,1271,-1
Cork City Council,15,1228,1323,-95
Cork City Council,16,1202,1219,-17
Cork City Council,17,1222,1225,-3
Cork City Council,18,1288,1360,-72
Cork City Council,19,1731,1674,57
Cork City Council,20,1889,1652,237
Cork City Council,21,1851,1667,184
Cork City Council,22,1835,1842,-7
Cork City Council,23,1779,1721,58
Cork City Council,24,1730,1687,43
Cork City Council,25,1733,1779,-46
Cork City Council,26,1633,1757,-124
Cork City Council,27,1759,1702,57
Cork City Council,28,1749,1712,37
Cork City Council,29,1750,1717,33
Cork City Council,30,1734,1703,31
Cork City Council,31,1814,1767,47
Cork City Council,32,1837,1727,110
Cork City Council,33,1705,1633,72
Cork City Council,34,1774,1636,138
Cork City Council,35,1780,1687,93
Cork City Council,36,1760,1701,59
Cork City Council,37,1872,1759,113
Cork City Council,38,1737,1728,9
Cork City Council,39,1858,1721,137
Cork City Council,40,1879,1750,129
Cork City Council,41,1834,1727,107
Cork City Council,42,1688,1747,-59
Cork City Council,43,1649,1638,11
Cork City Council,44,1568,1535,33
Cork City Council,45,1583,1495,88
Cork City Council,46,1515,1520,-5
Cork City Council,47,1468,1501,-33
Cork City Council,48,1417,1394,23
Cork City Council,49,1376,1466,-90
Cork City Council,50,1470,1424,46
Cork City Council,51,1388,1372,16
Cork City Council,52,1392,1340,52
Cork City Council,53,1262,1263,-1
Cork City Council,54,1301,1305,-4
Cork City Council,55,1271,1278,-7
Cork City Council,56,1334,1286,48
Cork City Council,57,1366,1282,84
Cork City Council,58,1369,1317,52
Cork City Council,59,1354,1285,69
Cork City Council,60,1327,1277,50
Cork City Council,61,1310,1156,154
Cork City Council,62,1244,1120,124
Cork City Council,63,1167,1092,75
Cork City Council,64,1147,1069,78
Cork City Council,65,1064,1061,3
Cork City Council,66,1045,915,130
Cork City Council,67,952,976,-24
Cork City Council,68,944,886,58
Cork City Council,69,983,888,95
Cork City Council,70,901,890,11
Cork City Council,71,909,813,96
Cork City Council,72,874,844,30
Cork City Council,73,842,759,83
Cork City Council,74,859,713,146
Cork City Council,75,766,752,14
Cork City Council,76,786,697,89
Cork City Council,77,729,629,100
Cork City Council,78,667,530,137
Cork City Council,79,665,477,188
Cork City Council,80,587,516,71
Cork City Council,81,522,421,101
Cork City Council,82,570,393,177
Cork City Council,83,512,332,180
Cork City Council,84,441,309,132
Cork City Council,85,401,252,149
Cork City Council,86,378,236,142
Cork City Council,87,309,219,90
Cork City Council,88,291,163,128
Cork City Council,89,232,133,99
Cork City Council,90,222,113,109
Cork City Council,91,177,95,82
Cork City Council,92,117,60,57
Cork City Council,93,111,38,73
Cork City Council,94,62,17,45
Cork City Council,95,42,19,23
Cork City Council,96,43,11,32
Cork City Council,97,28,11,17
Cork City Council,98,20,3,17
Cork City Council,99,20,4,16
Cork City Council,100,20,6,14
Cork County Council,0,2055,2135,-80
Cork County Council,1,2045,2070,-25
Cork County Council,2,2106,2184,-78
Cork County Council,3,2177,2260,-83
Cork County Council,4,2262,2358,-96
Cork County Council,5,2347,2406,-59
Cork County Council,6,2434,2638,-204
Cork County Council,7,2605,2737,-132
Cork County Council,8,2625,2785,-160
Cork County Council,9,2699,2802,-103
Cork County Council,10,2831,2821,10
Cork County Council,11,2873,2979,-106
Cork County Council,12,2829,3072,-243
Cork County Council,13,2897,2936,-39
Cork County Council,14,2779,2855,-76
Cork County Council,15,2629,2795,-166
Cork County Council,16,2562,2609,-47
Cork County Council,17,2431,2674,-243
Cork County Council,18,2343,2443,-100
Cork County Council,19,1971,2259,-288
Cork County Council,20,1783,2004,-221
Cork County Council,21,1700,1871,-171
Cork County Council,22,1720,1832,-112
Cork County Council,23,1603,1785,-182
Cork County Council,24,1559,1704,-145
Cork County Council,25,1502,1590,-88
Cork County Council,26,1562,1512,50
Cork County Council,27,1519,1526,-7
Cork County Council,28,1552,1514,38
Cork County Council,29,1639,1603,36
Cork County Council,30,1873,1672,201
Cork County Council,31,1970,1725,245
Cork County Council,32,2050,1791,259
Cork County Council,33,2023,1910,113
Cork County Council,34,2216,2038,178
Cork County Council,35,2430,2181,249
Cork County Council,36,2584,2198,386
Cork County Council,37,2611,2355,256
Cork County Council,38,2723,2461,262
Cork County Council,39,3007,2631,376
Cork County Council,40,3058,2744,314
Cork County Council,41,3058,2933,125
Cork County Council,42,3210,2906,304
Cork County Council,43,3056,2853,203
Cork County Council,44,2889,2778,111
Cork County Council,45,2853,2866,-13
Cork County Council,46,2841,2783,58
Cork County Council,47,2850,2801,49
Cork County Council,48,2756,2820,-64
Cork County Council,49,2769,2691,78
Cork County Council,50,2655,2708,-53
Cork County Council,51,2582,2684,-102
Cork County Council,52,2516,2555,-39
Cork County Council,53,2381,2452,-71
Cork County Council,54,2383,2325,58
Cork County Council,55,2229,2455,-226
Cork County Council,56,2345,2364,-19
Cork County Council,57,2305,2338,-33
Cork County Council,58,2176,2230,-54
Cork County Council,59,2109,2166,-57
Cork County Council,60,1978,2108,-130
Cork County Council,61,2073,2084,-11
Cork County Council,62,1916,2048,-132
Cork County Council,63,1861,1885,-24
Cork County Council,64,1828,1862,-34
Cork County Council,65,1718,1837,-119
Cork County Council,66,1762,1798,-36
Cork County Council,67,1783,1683,100
Cork County Council,68,1691,1727,-36
Cork County Council,69,1724,1713,11
Cork County Council,70,1560,1607,-47
Cork County Council,71,1568,1518,50
Cork County Council,72,1449,1482,-33
Cork County Council,73,1491,1432,59
Cork County Council,74,1357,1413,-56
Cork County Council,75,1303,1317,-14
Cork County Council,76,1297,1149,148
Cork County Council,77,1189,1101,88
Cork County Council,78,994,971,23
Cork County Council,79,982,851,131
Cork County Council,80,879,790,89
Cork County Council,81,773,634,139
Cork County Council,82,757,622,135
Cork County Council,83,651,528,123
Cork County Council,84,598,461,137
Cork County Council,85,593,457,136
Cork County Council,86,511,412,99
Cork County Council,87,468,336,132
Cork County Council,88,427,263,164
Cork County Council,89,340,209,131
Cork County Council,90,282,193,89
Cork County Council,91,282,148,134
Cork County Council,92,211,93,118
Cork County Council,93,172,64,108
Cork County Council,94,110,43,67
Cork County Council,95,103,37,66
Cork County Council,96,66,18,48
Cork County Council,97,49,16,33
Cork County Council,98,40,7,33
Cork County Council,99,17,8,9
Cork County Council,100,43,11,32
Donegal County Council,0,881,916,-35
Donegal County Council,1,918,963,-45
Donegal County Council,2,983,988,-5
Donegal County Council,3,1044,1030,14
Donegal County Council,4,1047,1042,5
Donegal County Council,5,1095,1079,16
Donegal County Council,6,1061,1163,-102
Donegal County Council,7,1075,1137,-62
Donegal County Council,8,1095,1224,-129
Donegal County Council,9,1169,1222,-53
Donegal County Council,10,1233,1277,-44
Donegal County Council,11,1254,1330,-76
Donegal County Council,12,1292,1332,-40
Donegal County Council,13,1255,1377,-122
Donegal County Council,14,1281,1329,-48
Donegal County Council,15,1202,1271,-69
Donegal County Council,16,1149,1292,-143
Donegal County Council,17,1130,1236,-106
Donegal County Council,18,1110,1175,-65
Donegal County Council,19,883,930,-47
Donegal County Council,20,864,941,-77
Donegal County Council,21,821,887,-66
Donegal County Council,22,861,870,-9
Donegal County Council,23,762,809,-47
Donegal County Council,24,736,821,-85
Donegal County Council,25,719,757,-38
Donegal County Council,26,735,772,-37
Donegal County Council,27,747,695,52
Donegal County Council,28,761,714,47
Donegal County Council,29,782,754,28
Donegal County Council,30,906,788,118
Donegal County Council,31,892,831,61
Donegal County Council,32,936,927,9
Donegal County Council,33,961,868,93
Donegal County Council,34,1077,946,131
Donegal County Council,35,1057,959,98
Donegal County Council,36,1107,1005,102
Donegal County Council,37,1115,991,124
Donegal County Council,38,1119,1036,83
Donegal County Council,39,1237,1121,116
Donegal County Council,40,1293,1149,144
Donegal County Council,41,1319,1168,151
Donegal County Council,42,1288,1224,64
Donegal County Council,43,1241,1186,55
Donegal County Council,44,1245,1181,64
Donegal County Council,45,1235,1193,42
Donegal County Council,46,1189,1239,-50
Donegal County Council,47,1203,1119,84
Donegal County Council,48,1203,1151,52
Donegal County Council,49,1210,1187,23
Donegal County Council,50,1204,1185,19
Donegal County Council,51,1172,1129,43
Donegal County Council,52,1157,1195,-38
Donegal County Council,53,1143,1141,2
Donegal County Council,54,1165,1144,21
Donegal County Council,55,1133,1075,58
Donegal County Council,56,1136,1062,74
Donegal County Council,57,1131,1095,36
Donegal County Council,58,1055,1078,-23
Donegal County Council,59,1019,962,57
Donegal County Council,60,1092,963,129
Donegal County Council,61,996,945,51
Donegal County Council,62,1033,944,89
Donegal County Council,63,982,926,56
Donegal County Council,64,916,903,13
Donegal County Council,65,881,945,-64
Donegal County Council,66,881,894,-13
Donegal County Council,67,911,905,6
Donegal County Council,68,844,867,-23
Donegal County Council,69,863,889,-26
Donegal County Council,70,803,837,-34
Donegal County Council,71,854,772,82
Donegal County Council,72,755,763,-8
Donegal County Council,73,767,755,12
Donegal County Council,74,715,750,-35
Donegal County Council,75,675,732,-57
Donegal County Council,76,681,663,18
Donegal County Council,77,585,594,-9
Donegal County Council,78,562,553,9
Donegal County Council,79,489,502,-13
Donegal County Council,80,446,456,-10
Donegal County Council,81,441,399,42
Donegal County Council,82,379,365,14
Donegal County Council,83,367,340,27
Donegal County Council,84,351,272,79
Donegal County Council,85,317,234,83
Donegal County Council,86,266,168,98
Donegal County Council,87,256,177,79
Donegal County Council,88,208,131,77
Donegal County Council,89,172,138,34
Donegal County Council,90,154,94,60
Donegal County Council,91,136,71,65
Donegal County Council,92,94,54,40
Donegal County Council,93,89,41,48
Donegal County Council,94,62,26,36
Donegal County Council,95,63,28,35
Donegal County Council,96,34,14,20
Donegal County Council,97,21,6,15
Donegal County Council,98,11,4,7
Donegal County Council,99,13,5,8
Donegal County Council,100,31,2,29
Dublin City Council,0,3025,3188,-163
Dublin City Council,1,2762,2937,-175
Dublin City Council,2,2795,3035,-240
Dublin City Council,3,2705,2875,-170
Dublin City Council,4,2755,2869,-114
Dublin City Council,5,2782,2793,-11
Dublin City Council,6,2879,2934,-55
Dublin City Council,7,2891,3021,-130
Dublin City Council,8,2991,3095,-104
Dublin City Council,9,2930,3040,-110
Dublin City Council,10,3027,3147,-120
Dublin City Council,11,3003,3053,-50
Dublin City Council,12,3048,3236,-188
Dublin City Council,13,2975,3064,-89
Dublin City Council,14,2942,2806,136
Dublin City Council,15,2729,2713,16
Dublin City Council,16,2658,2750,-92
Dublin City Council,17,2734,2906,-172
Dublin City Council,18,3291,3143,148
Dublin City Council,19,3676,3669,7
Dublin City Council,20,4326,3777,549
Dublin City Council,21,4237,3903,334
Dublin City Council,22,4719,4372,347
Dublin City Council,23,5142,4839,303
Dublin City Council,24,5455,5137,318
Dublin City Council,25,5667,5634,33
Dublin City Council,26,5932,5732,200
Dublin City Council,27,5976,5965,11
Dublin City Council,28,6089,5931,158
Dublin City Council,29,6030,6102,-72
Dublin City Council,30,6178,6163,15
Dublin City Council,31,6079,6287,-208
Dublin City Council,32,5964,6080,-116
Dublin City Council,33,5700,5734,-34
Dublin City Council,34,5545,5503,42
Dublin City Council,35,5444,5488,-44
Dublin City Council,36,5218,5401,-183
Dublin City Council,37,4902,5208,-306
Dublin City Council,38,5053,5083,-30
Dublin City Council,39,4939,4959,-20
Dublin City Council,40,4809,4961,-152
Dublin City Council,41,4926,4913,13
Dublin City Council,42,4621,4704,-83
Dublin City Council,43,4393,4458,-65
Dublin City Council,44,4160,4210,-50
Dublin City Council,45,3898,4016,-118
Dublin City Council,46,3846,3858,-12
Dublin City Council,47,3607,3801,-194
Dublin City Council,48,3737,3741,-4
Dublin City Council,49,3703,3701,2
Dublin City Council,50,3721,3753,-32
Dublin City Council,51,3584,3567,17
Dublin City Council,52,3663,3453,210
Dublin City Council,53,3291,3331,-40
Dublin City Council,54,3363,3389,-26
Dublin City Council,55,3133,3075,58
Dublin City Council,56,3208,3168,40
Dublin City Council,57,3273,3166,107
Dublin City Council,58,3196,3113,83
Dublin City Council,59,3205,3040,165
Dublin City Council,60,3065,2961,104
Dublin City Council,61,2975,2829,146
Dublin City Council,62,2866,2781,85
Dublin City Council,63,2642,2626,16
Dublin City Council,64,2624,2456,168
Dublin City Council,65,2545,2456,89
Dublin City Council,66,2490,2204,286
Dublin City Council,67,2399,2194,205
Dublin City Council,68,2139,2065,74
Dublin City Council,69,2244,2147,97
Dublin City Council,70,2175,1930,245
Dublin City Council,71,2042,1863,179
Dublin City Council,72,2032,1821,211
Dublin City Council,73,2057,1731,326
Dublin City Council,74,1922,1710,212
Dublin City Council,75,1789,1620,169
Dublin City Council,76,1719,1476,243
Dublin City Council,77,1633,1310,323
Dublin City Council,78,1581,1265,316
Dublin City Council,79,1554,1220,334
Dublin City Council,80,1374,1034,340
Dublin City Council,81,1332,922,410
Dublin City Council,82,1368,919,449
Dublin City Council,83,1242,846,396
Dublin City Council,84,1177,739,438
Dublin City Council,85,1109,677,432
Dublin City Council,86,988,574,414
Dublin City Council,87,908,509,399
Dublin City Council,88,886,444,442
Dublin City Council,89,712,354,358
Dublin City Council,90,614,271,343
Dublin City Council,91,534,244,290
Dublin City Council,92,455,169,286
Dublin City Council,93,322,125,197
Dublin City Council,94,264,98,166
Dublin City Council,95,194,71,123
Dublin City Council,96,142,58,84
Dublin City Council,97,87,28,59
Dublin City Council,98,57,24,33
Dublin City Council,99,49,15,34
Dublin City Council,100,80,20,60
Dún Laoghaire Rathdown County Council,0,1188,1269,-81
Dún Laoghaire Rathdown County Council,1,1192,1245,-53
Dún Laoghaire Rathdown County Council,2,1238,1251,-13
Dún Laoghaire Rathdown County Council,3,1309,1304,5
Dún Laoghaire Rathdown County Council,4,1278,1380,-102
Dún Laoghaire Rathdown County Council,5,1426,1442,-16
Dún Laoghaire Rathdown County Council,6,1394,1485,-91
Dún Laoghaire Rathdown County Council,7,1469,1505,-36
Dún Laoghaire Rathdown County Council,8,1468,1517,-49
Dún Laoghaire Rathdown County Council,9,1550,1454,96
Dún Laoghaire Rathdown County Council,10,1449,1586,-137
Dún Laoghaire Rathdown County Council,11,1484,1536,-52
Dún Laoghaire Rathdown County Council,12,1430,1561,-131
Dún Laoghaire Rathdown County Council,13,1432,1544,-112
Dún Laoghaire Rathdown County Council,14,1464,1453,11
Dún Laoghaire Rathdown County Council,15,1383,1392,-9
Dún Laoghaire Rathdown County Council,16,1352,1381,-29
Dún Laoghaire Rathdown County Council,17,1398,1374,24
Dún Laoghaire Rathdown County Council,18,1511,1427,84
Dún Laoghaire Rathdown County Council,19,1659,1577,82
Dún Laoghaire Rathdown County Council,20,1742,1535,207
Dún Laoghaire Rathdown County Council,21,1605,1480,125
Dún Laoghaire Rathdown County Council,22,1635,1607,28
Dún Laoghaire Rathdown County Council,23,1681,1566,115
Dún Laoghaire Rathdown County Council,24,1661,1508,153
Dún Laoghaire Rathdown County Council,25,1578,1532,46
Dún Laoghaire Rathdown County Council,26,1528,1537,-9
Dún Laoghaire Rathdown County Council,27,1518,1471,47
Dún Laoghaire Rathdown County Council,28,1457,1412,45
Dún Laoghaire Rathdown County Council,29,1466,1431,35
Dún Laoghaire Rathdown County Council,30,1601,1511,90
Dún Laoghaire Rathdown County Council,31,1555,1510,45
Dún Laoghaire Rathdown County Council,32,1649,1516,133
Dún Laoghaire Rathdown County Council,33,1581,1442,139
Dún Laoghaire Rathdown County Council,34,1556,1488,68
Dún Laoghaire Rathdown County Council,35,1548,1506,42
Dún Laoghaire Rathdown County Council,36,1677,1511,166
Dún Laoghaire Rathdown County Council,37,1694,1543,151
Dún Laoghaire Rathdown County Council,38,1801,1644,157
Dún Laoghaire Rathdown County Council,39,1878,1667,211
Dún Laoghaire Rathdown County Council,40,1910,1736,174
Dún Laoghaire Rathdown County Council,41,1944,1795,149
Dún Laoghaire Rathdown County Council,42,1878,1812,66
Dún Laoghaire Rathdown County Council,43,1812,1665,147
Dún Laoghaire Rathdown County Council,44,1680,1566,114
Dún Laoghaire Rathdown County Council,45,1609,1443,166
Dún Laoghaire Rathdown County Council,46,1606,1546,60
Dún Laoghaire Rathdown County Council,47,1627,1510,117
Dún Laoghaire Rathdown County Council,48,1623,1561,62
Dún Laoghaire Rathdown County Council,49,1604,1555,49
Dún Laoghaire Rathdown County Council,50,1607,1494,113
Dún Laoghaire Rathdown County Council,51,1513,1470,43
Dún Laoghaire Rathdown County Council,52,1524,1409,115
Dún Laoghaire Rathdown County Council,53,1494,1332,162
Dún Laoghaire Rathdown County Council,54,1497,1291,206
Dún Laoghaire Rathdown County Council,55,1549,1334,215
Dún Laoghaire Rathdown County Council,56,1442,1249,193
Dún Laoghaire Rathdown County Council,57,1500,1295,205
Dún Laoghaire Rathdown County Council,58,1478,1278,200
Dún Laoghaire Rathdown County Council,59,1499,1285,214
Dún Laoghaire Rathdown County Council,60,1404,1254,150
Dún Laoghaire Rathdown County Council,61,1344,1190,154
Dún Laoghaire Rathdown County Council,62,1282,1188,94
Dún Laoghaire Rathdown County Council,63,1260,1109,151
Dún Laoghaire Rathdown County Council,64,1212,1092,120
Dún Laoghaire Rathdown County Council,65,1226,1033,193
Dún Laoghaire Rathdown County Council,66,1166,1027,139
Dún Laoghaire Rathdown County Council,67,1158,974,184
Dún Laoghaire Rathdown County Council,68,1112,970,142
Dún Laoghaire Rathdown County Council,69,1100,976,124
Dún Laoghaire Rathdown County Council,70,1052,927,125
Dún Laoghaire Rathdown County Council,71,1016,861,155
Dún Laoghaire Rathdown County Council,72,1076,803,273
Dún Laoghaire Rathdown County Council,73,970,826,144
Dún Laoghaire Rathdown County Council,74,989,825,164
Dún Laoghaire Rathdown County Council,75,1043,793,250
Dún Laoghaire Rathdown County Council,76,946,757,189
Dún Laoghaire Rathdown County Council,77,888,716,172
Dún Laoghaire Rathdown County Council,78,867,684,183
Dún Laoghaire Rathdown County Council,79,793,655,138
Dún Laoghaire Rathdown County Council,80,819,591,228
Dún Laoghaire Rathdown County Council,81,712,528,184
Dún Laoghaire Rathdown County Council,82,666,563,103
Dún Laoghaire Rathdown County Council,83,679,462,217
Dún Laoghaire Rathdown County Council,84,582,410,172
Dún Laoghaire Rathdown County Council,85,570,367,203
Dún Laoghaire Rathdown County Council,86,482,335,147
Dún Laoghaire Rathdown County Council,87,448,288,160
Dún Laoghaire Rathdown County Council,88,412,256,156
Dún Laoghaire Rathdown County Council,89,331,194,137
Dún Laoghaire Rathdown County Council,90,312,181,131
Dún Laoghaire Rathdown County Council,91,251,128,123
Dún Laoghaire Rathdown County Council,92,194,93,101
Dún Laoghaire Rathdown County Council,93,162,68,94
Dún Laoghaire Rathdown County Council,94,124,65,59
Dún Laoghaire Rathdown County Council,95,92,40,52
Dún Laoghaire Rathdown County Council,96,61,34,27
Dún Laoghaire Rathdown County Council,97,43,14,29
Dún Laoghaire Rathdown County Council,98,35,10,25
Dún Laoghaire Rathdown County Council,99,26,6,20
Dún Laoghaire Rathdown County Council,100,42,13,29
Fingal County Council,0,1950,2059,-109
Fingal County Council,1,1907,1987,-80
Fingal County Council,2,2112,2196,-84
Fingal County Council,3,2161,2223,-62
Fingal County Council,4,2147,2275,-128
Fingal County Council,5,2252,2387,-135
Fingal County Council,6,2361,2502,-141
Fingal County Council,7,2476,2577,-101
Fingal County Council,8,2608,2752,-144
Fingal County Council,9,2625,2775,-150
Fingal County Council,10,2736,2938,-202
Fingal County Council,11,2660,2807,-147
Fingal County Council,12,2779,3013,-234
Fingal County Council,13,2655,2830,-175
Fingal County Council,14,2584,2714,-130
Fingal County Council,15,2420,2528,-108
Fingal County Council,16,2238,2293,-55
Fingal County Council,17,2195,2371,-176
Fingal County Council,18,2252,2221,31
Fingal County Council,19,2191,2167,24
Fingal County Council,20,2073,2080,-7
Fingal County Council,21,1833,1959,-126
Fingal County Council,22,1844,1983,-139
Fingal County Council,23,1807,1926,-119
Fingal County Council,24,1774,1818,-44
Fingal County Council,25,1796,1831,-35
Fingal County Council,26,1740,1841,-101
Fingal County Council,27,1832,1809,23
Fingal County Council,28,1825,1772,53
Fingal County Council,29,1973,1824,149
Fingal County Council,30,2088,1888,200
Fingal County Council,31,2180,2061,119
Fingal County Council,32,2240,2088,152
Fingal County Council,33,2439,2157,282
Fingal County Council,34,2599,2188,411
Fingal County Council,35,2691,2321,370
Fingal County Council,36,2843,2484,359
Fingal County Council,37,2808,2528,280
Fingal County Council,38,2926,2682,244
Fingal County Council,39,3147,2780,367
Fingal County Council,40,3131,2973,158
Fingal County Council,41,3200,3043,157
Fingal County Council,42,3281,3069,212
Fingal County Council,43,3065,2948,117
Fingal County Council,44,2976,2707,269
Fingal County Council,45,2862,2788,74
Fingal County Council,46,2771,2681,90
Fingal County Council,47,2769,2715,54
Fingal County Council,48,2696,2614,82
Fingal County Council,49,2585,2562,23
Fingal County Council,50,2470,2434,36
Fingal County Council,51,2314,2252,62
Fingal County Council,52,2147,2153,-6
Fingal County Council,53,2016,2013,3
Fingal County Council,54,1936,1882,54
Fingal County Council,55,1855,1805,50
Fingal County Council,56,1805,1695,110
Fingal County Council,57,1773,1672,101
Fingal County Council,58,1705,1600,105
Fingal County Council,59,1669,1593,76
Fingal County Council,60,1591,1502,89
Fingal County Council,61,1600,1427,173
Fingal County Council,62,1540,1399,141
Fingal County Council,63,1423,1302,121
Fingal County Council,64,1310,1241,69
Fingal County Council,65,1309,1247,62
Fingal County Council,66,1300,1090,210
Fingal County Council,67,1237,1075,162
Fingal County Council,68,1213,1077,136
Fingal County Council,69,1193,1127,66
Fingal County Council,70,1140,1031,109
Fingal County Council,71,1008,953,55
Fingal County Council,72,1107,959,148
Fingal County Council,73,1053,888,165
Fingal County Council,74,967,854,113
Fingal County Council,75,939,793,146
Fingal County Council,76,879,781,98
Fingal County Council,77,783,692,91
Fingal County Council,78,676,616,60
Fingal County Council,79,692,566,126
Fingal County Council,80,533,478,55
Fingal County Council,81,499,420,79
Fingal County Council,82,438,410,28
Fingal County Council,83,395,312,83
Fingal County Council,84,365,277,88
Fingal County Council,85,300,246,54
Fingal County Council,86,293,207,86
Fingal County Council,87,249,185,64
Fingal County Council,88,219,105,114
Fingal County Council,89,192,141,51
Fingal County Council,90,171,85,86
Fingal County Council,91,153,58,95
Fingal County Council,92,106,42,64
Fingal County Council,93,80,38,42
Fingal County Council,94,62,24,38
Fingal County Council,95,39,14,25
Fingal County Council,96,32,16,16
Fingal County Council,97,40,11,29
Fingal County Council,98,18,3,15
Fingal County Council,99,20,2,18
Fingal County Council,100,17,4,13
Galway City Council,0,387,405,-18
Galway City Council,1,395,362,33
Galway City Council,2,386,406,-20
Galway City Council,3,389,410,-21
Galway City Council,4,418,412,6
Galway City Council,5,412,437,-25
Galway City Council,6,406,449,-43
Galway City Council,7,433,460,-27
Galway City Council,8,480,443,37
Galway City Council,9,465,477,-12
Galway City Council,10,438,450,-12
